,CURRENT,PREVIOUS,PREVIOUS_SPEAKER,PREVIOUS_DISTANCE,PREVIOUS_DISTANCE_LOG,PREVIOUS_BETA_MAN,PREVIOUS_BETA_WERDEN,QUASI_PERSISTENCE,HUMAN_ID,INTERACTION_ID,TURN_LENGTH,CONFEDERATE,CORPUS
1854,werden,man,J,10,2.302585092994046,False,False,False,20171121A,4_VACC,10,True,VACC
1873,werden,werden,S,19,2.9444389791664403,False,True,False,20171121A,4_VACC,7,True,VACC
4057,werden,man,S,8,2.0794415416798357,False,False,False,20171121B,8_VACC,24,True,VACC
4176,werden,werden,J,14,2.6390573296152584,True,False,False,20171121B,8_VACC,6,True,VACC
4879,werden,man,J,503,6.220590170099739,False,True,False,20171121B,8_VACC,42,True,VACC
4989,werden,werden,A,19,2.9444389791664403,False,False,True,20171121B,8_VACC,8,True,VACC
5081,werden,werden,S,92,4.5217885770490405,False,False,False,20171121B,8_VACC,6,True,VACC
7628,werden,man,J,220,5.393627546352362,False,False,True,20171121C,12_VACC,16,True,VACC
7641,werden,werden,S,13,2.5649493574615367,False,False,True,20171121C,12_VACC,6,True,VACC
8369,werden,man,J,476,6.16541785423142,False,True,False,20171121C,12_VACC,8,True,VACC
10076,werden,werden,J,9,2.1972245773362196,False,True,True,20171122A,16_VACC,6,True,VACC
12978,werden,werden,S,10,2.302585092994046,False,True,False,20171122B,20_VACC,6,True,VACC
13813,man,man,J,586,6.373319789577012,False,True,False,20171122B,20_VACC,26,True,VACC
13868,werden,man,S,55,4.007333185232471,False,True,False,20171122B,20_VACC,35,True,VACC
13922,werden,werden,S,54,3.9889840465642745,False,False,True,20171122B,20_VACC,9,True,VACC
13976,werden,werden,S,54,3.9889840465642745,False,False,True,20171122B,20_VACC,11,True,VACC
13982,werden,werden,S,6,1.791759469228055,False,False,True,20171122B,20_VACC,11,True,VACC
14051,werden,werden,S,69,4.23410650459726,False,False,False,20171122B,20_VACC,9,True,VACC
15606,werden,werden,S,19,2.9444389791664403,False,False,False,20171122C,24_VACC,6,True,VACC
15797,man,man,J,112,4.718498871295094,False,False,False,20171122C,24_VACC,14,True,VACC
16439,werden,werden,A,15,2.70805020110221,False,False,True,20171122C,24_VACC,8,True,VACC
18289,werden,werden,J,24,3.1780538303479458,False,False,False,20171123A,28_VACC,6,True,VACC
18473,man,werden,J,86,4.454347296253507,False,False,False,20171123A,28_VACC,5,True,VACC
18592,werden,werden,J,5,1.6094379124341005,False,False,False,20171123A,28_VACC,6,True,VACC
19126,werden,werden,A,15,2.70805020110221,False,False,True,20171123A,28_VACC,8,True,VACC
19179,werden,werden,S,53,3.970291913552122,False,False,True,20171123A,28_VACC,12,True,VACC
19184,werden,werden,S,5,1.6094379124341005,False,False,True,20171123A,28_VACC,12,True,VACC
19331,werden,werden,J,18,2.8903717578961645,False,False,False,20171123A,28_VACC,7,True,VACC
21160,werden,werden,A,15,2.70805020110221,False,False,True,20171123B,31_VACC,8,True,VACC
21287,werden,werden,J,9,2.1972245773362196,False,False,False,20171123B,31_VACC,7,True,VACC
23229,man,man,J,144,4.969813299576001,False,True,False,20171123D,35_VACC,21,True,VACC
23235,werden,man,S,6,1.791759469228055,False,True,False,20171123D,35_VACC,21,True,VACC
23356,werden,werden,S,121,4.795790545596741,False,False,False,20171123D,35_VACC,17,True,VACC
23379,werden,werden,S,23,3.1354942159291497,False,False,False,20171123D,35_VACC,31,True,VACC
23411,werden,werden,S,32,3.4657359027997265,False,False,False,20171123D,35_VACC,10,True,VACC
23545,werden,werden,J,25,3.218875824868201,False,False,False,20171123D,35_VACC,6,True,VACC
23950,werden,werden,A,60,4.0943445622221,False,False,False,20171123D,35_VACC,9,True,VACC
24004,werden,werden,S,54,3.9889840465642745,False,False,True,20171123D,35_VACC,7,True,VACC
26363,man,man,J,123,4.812184355372417,False,False,False,20171123E,39_VACC,12,True,VACC
29375,werden,man,J,64,4.1588830833596715,False,False,True,20171123F,43_VACC,6,True,VACC
29542,man,werden,S,167,5.117993812416755,False,True,False,20171123F,43_VACC,7,True,VACC
29927,man,man,S,385,5.953243334287785,False,False,True,20171123F,43_VACC,16,True,VACC
29937,man,man,S,10,2.302585092994046,False,False,False,20171123F,43_VACC,16,True,VACC
30132,werden,werden,A,15,2.70805020110221,False,False,True,20171123F,43_VACC,8,True,VACC
32027,man,man,J,14,2.6390573296152584,False,False,False,20171127A,47_VACC,9,True,VACC
32327,werden,man,S,300,5.703782474656201,False,True,False,20171127A,47_VACC,60,True,VACC
32339,man,werden,S,12,2.4849066497880004,False,True,False,20171127A,47_VACC,60,True,VACC
32402,werden,man,S,63,4.143134726391533,False,False,True,20171127A,47_VACC,13,True,VACC
32418,werden,werden,S,16,2.772588722239781,False,False,False,20171127A,47_VACC,5,True,VACC
32923,werden,man,J,230,5.438079308923196,False,False,False,20171127A,47_VACC,37,True,VACC
33036,werden,werden,J,68,4.219507705176107,False,True,False,20171127A,47_VACC,53,True,VACC
33116,werden,werden,S,80,4.382026634673881,False,False,True,20171127A,47_VACC,8,True,VACC
33178,man,werden,S,62,4.127134385045092,False,False,True,20171127A,47_VACC,29,True,VACC
33194,werden,man,S,16,2.772588722239781,False,False,False,20171127A,47_VACC,29,True,VACC
33244,werden,werden,J,10,2.302585092994046,False,False,False,20171127A,47_VACC,7,True,VACC
35613,werden,man,S,234,5.455321115357702,False,True,False,20171127B,51_VACC,6,True,VACC
35677,man,werden,S,64,4.1588830833596715,False,False,False,20171127B,51_VACC,39,True,VACC
35685,man,man,S,8,2.0794415416798357,False,False,False,20171127B,51_VACC,39,True,VACC
36672,werden,werden,A,15,2.70805020110221,False,False,True,20171127B,51_VACC,8,True,VACC
36735,werden,werden,S,63,4.143134726391533,False,False,True,20171127B,51_VACC,16,True,VACC
36902,werden,werden,S,167,5.117993812416755,False,False,False,20171127B,51_VACC,8,True,VACC
38707,werden,man,J,104,4.6443908991413725,False,False,False,20171127C,55_VACC,7,True,VACC
