,word,lemma,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,persistence_unigrams_lemma,persistence_bigrams_lemma,persistence_trigrams_lemma,persistence_quadrigrams_lemma,alternating_dez_zwoelf
0,Hallo,hallo,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,
1,wie,wie,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,
2,sieht,sehen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,
3,mein,mein,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,
4,Kalender,kalender,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,
5,am,an,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,
6,zwölften,zwölf,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,no
7,zwölften,zwölfen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,
8,aus,aus,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,,,,,
9,Die,der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,
10,Termine,termin,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,FPP_Termin,FPP_start_Termin an,,,
11,am,an,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,FPP_end_Termin an,,,
12,Montag,montag,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,
13,den,der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,
14,zwölften,zwölf,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,no
15,Dezember,dezember,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,FPP_Dezember,,,,yes
16,sehen,sehen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,
17,wie,wie,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,
18,folgt,folgen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,
19,aus,aus,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,,,,,
20,Und,und,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,
21,wie,wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,
22,sehen,sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,,,,,
