id,word,lemma,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,unique_turn_id
1,Hallo wie,Hallo wie,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
2,wie sieht,wie sehen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
3,sieht mein,sehen mein,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
4,mein Kalender,mein Kalender,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
5,Kalender am,Kalender an,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
6,am zwölften,an zwölf,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
7,zwölften zwölften,zwölf zwölfen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
8,zwölften aus,zwölfen aus,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
10,Die Termine,der Termin,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
11,Termine am,Termin an,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
12,am Montag,an Montag,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
13,Montag den,Montag der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
14,den zwölften,der zwölf,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
15,zwölften Dezember,zwölf Dezember,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
16,Dezember sehen,Dezember sehen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
17,sehen wie,sehen wie,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
18,wie folgt,wie folgen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
19,folgt aus,folgen aus,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
21,Und wie,und wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
22,wie sehen,wie sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
23,sehen meine,sehen mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
24,meine Termine,mein Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
25,Termine am,Termin an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
26,am dreizehnten,an dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
