id,word,lemma,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end
1,Hallo,Hallo,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
2,wie,wie,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
3,sieht,sehen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
4,mein,mein,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
5,Kalender,Kalender,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
6,am,an,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
7,zwölften,zwölf,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
8,zwölften,zwölfen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
9,aus,aus,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324
10,Die,der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
11,Termine,Termin,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
12,am,an,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
13,Montag,Montag,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
14,den,der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
15,zwölften,zwölf,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
16,Dezember,Dezember,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
17,sehen,sehen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
18,wie,wie,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
19,folgt,folgen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
20,aus,aus,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745
21,Und,und,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
22,wie,wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
23,sehen,sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
24,meine,mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
25,Termine,Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
26,am,an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
27,dreizehnten,dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
28,zwölften,zwölf,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
29,aus,aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
30,Alexa,Alexa,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
31,wie,wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
32,sehen,sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
33,meine,mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
34,Termine,Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
35,am,an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
36,dreizehnten,dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
37,Dezember,Dezember,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
38,aus,aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438
39,Tut,Tut,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473
40,mir,mir,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473
41,leid,leid,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473
42,das,der,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473
43,habe,haben,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473
44,ich,ich,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473
45,nicht,nicht,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473
46,verstanden,verstehen,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473
47,Alexa,Alexa,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
48,wie,wie,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
49,sehen,sehen,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
50,meine,mein,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
51,Termine,Termin,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
52,am,an,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
53,dreizehnten,dreizehnter,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
54,Dezember,Dezember,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
55,aus,aus,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434
