word,lemma,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,unique_turn_id,persistence_lemma
Hallo wie,Hallo wie,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
wie sieht,wie sehen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
sieht mein,sehen mein,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
mein Kalender,mein Kalender,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
Kalender am,Kalender an,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
am zwölften,an zwölf,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
zwölften zwölften,zwölf zwölfen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
zwölften aus,zwölfen aus,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
Die Termine,der Termin,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Termine am,Termin an,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,PER_FPP: Termin an
am Montag,an Montag,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Montag den,Montag der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
den zwölften,der zwölf,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
zwölften Dezember,zwölf Dezember,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Dezember sehen,Dezember sehen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
sehen wie,sehen wie,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
wie folgt,wie folgen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
folgt aus,folgen aus,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Und wie,und wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
wie sehen,wie sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
