word,lemma,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,unique_turn_id,persistence_lemma
Hallo wie sieht mein,Hallo wie sehen mein,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
wie sieht mein Kalender,wie sehen mein Kalender,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
sieht mein Kalender am,sehen mein Kalender an,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
mein Kalender am zwölften,mein Kalender an zwölf,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
Kalender am zwölften zwölften,Kalender an zwölf zwölfen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
am zwölften zwölften aus,an zwölf zwölfen aus,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
Die Termine am Montag,der Termin an Montag,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Termine am Montag den,Termin an Montag der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
am Montag den zwölften,an Montag der zwölf,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Montag den zwölften Dezember,Montag der zwölf Dezember,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
den zwölften Dezember sehen,der zwölf Dezember sehen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
zwölften Dezember sehen wie,zwölf Dezember sehen wie,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Dezember sehen wie folgt,Dezember sehen wie folgen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
sehen wie folgt aus,sehen wie folgen aus,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Und wie sehen meine,und wie sehen mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
wie sehen meine Termine,wie sehen mein Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
sehen meine Termine am,sehen mein Termin an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
meine Termine am dreizehnten,mein Termin an dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
Termine am dreizehnten zwölften,Termin an dreizehnter zwölf,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
am dreizehnten zwölften aus,an dreizehnter zwölf aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
dreizehnten zwölften aus Alexa,dreizehnter zwölf aus Alexa,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
zwölften aus Alexa wie,zwölf aus Alexa wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
aus Alexa wie sehen,aus Alexa wie sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
Alexa wie sehen meine,Alexa wie sehen mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
wie sehen meine Termine,wie sehen mein Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
