word,lemma,persistence,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,persistence_lemma
Hallo,Hallo,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
wie,wie,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
sieht,sehen,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
mein,mein,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
Kalender,Kalender,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
am,an,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
zwölften,zwölf,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
zwölften,zwölfen,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
aus,aus,,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
Die,der,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
Termine,Termin,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,PER_FPP: Termin
am,an,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
Montag,Montag,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
den,der,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
zwölften,zwölf,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
Dezember,Dezember,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,PER_FPP: Dezember
sehen,sehen,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
wie,wie,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
folgt,folgen,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
aus,aus,,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
Und,und,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
wie,wie,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
sehen,sehen,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
meine,mein,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Termine,Termin,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,PER_SPP: Termin
am,an,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
dreizehnten,dreizehnter,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
zwölften,zwölf,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
aus,aus,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Alexa,Alexa,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
wie,wie,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
sehen,sehen,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
meine,mein,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Termine,Termin,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,PER_SPP: Termin
am,an,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
dreizehnten,dreizehnter,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Dezember,Dezember,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,PER_SPP: Dezember
