word,lemma,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,unique_turn_id,persistence_lemma
Hallo wie sieht,Hallo wie sehen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
wie sieht mein,wie sehen mein,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
sieht mein Kalender,sehen mein Kalender,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
mein Kalender am,mein Kalender an,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
Kalender am zwölften,Kalender an zwölf,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
am zwölften zwölften,an zwölf zwölfen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
zwölften zwölften aus,zwölf zwölfen aus,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1,
Die Termine am,der Termin an,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Termine am Montag,Termin an Montag,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
am Montag den,an Montag der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Montag den zwölften,Montag der zwölf,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
den zwölften Dezember,der zwölf Dezember,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
zwölften Dezember sehen,zwölf Dezember sehen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Dezember sehen wie,Dezember sehen wie,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
sehen wie folgt,sehen wie folgen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
wie folgt aus,wie folgen aus,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2,
Und wie sehen,und wie sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
wie sehen meine,wie sehen mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
sehen meine Termine,sehen mein Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
meine Termine am,mein Termin an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
Termine am dreizehnten,Termin an dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,PER_FPP: Termin an dreizehnter
am dreizehnten zwölften,an dreizehnter zwölf,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
dreizehnten zwölften aus,dreizehnter zwölf aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
zwölften aus Alexa,zwölf aus Alexa,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
aus Alexa wie,aus Alexa wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
Alexa wie sehen,Alexa wie sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
wie sehen meine,wie sehen mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
sehen meine Termine,sehen mein Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
meine Termine am,mein Termin an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
Termine am dreizehnten,Termin an dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,PER_FPP: Termin an dreizehnter
am dreizehnten Dezember,an dreizehnter Dezember,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,PER_FPP: an dreizehnter Dezember
dreizehnten Dezember aus,dreizehnter Dezember aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3,
Tut mir leid,Tut mir leid,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4,
mir leid das,mir leid der,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4,
leid das habe,leid der haben,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4,
das habe ich,der haben ich,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4,
habe ich nicht,haben ich nicht,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4,
ich nicht verstanden,ich nicht verstehen,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4,
Alexa wie sehen,Alexa wie sehen,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5,
wie sehen meine,wie sehen mein,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5,
sehen meine Termine,sehen mein Termin,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5,
meine Termine am,mein Termin an,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5,
Termine am dreizehnten,Termin an dreizehnter,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5,PER_FPP: Termin an dreizehnter
am dreizehnten Dezember,an dreizehnter Dezember,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5,PER_FPP: an dreizehnter Dezember
dreizehnten Dezember aus,dreizehnter Dezember aus,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5,
Am dreizehnten Dezember,an dreizehnter Dezember,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6,PER_SPP: an dreizehnter Dezember
dreizehnten Dezember hast,dreizehnter Dezember haben,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6,
Dezember hast du,Dezember haben du,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6,
hast du keinen,haben du kein,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6,
du keinen Eintrag,du kein Eintrag,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6,
Alexa bitte erstelle,Alexa bitte erstellen,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,
bitte erstelle mir,bitte erstellen mir,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,
erstelle mir einen,erstellen mir ein,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,
mir einen Eintrag,mir ein Eintrag,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,
einen Eintrag um,ein Eintrag um,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,
Eintrag um neun,Eintrag um neun,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,
um neun Uhr,um neun Uhr,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,PER_FPP: um neun Uhr
neun Uhr am,neun Uhr an,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,
Uhr am dreizehnten,Uhr an dreizehnter,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,
am dreizehnten Dezember,an dreizehnter Dezember,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7,PER_FPP: an dreizehnter Dezember
Klar und wie,Klar und wie,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,8,
und wie soll,und wie sollen,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,8,
wie soll der,wie sollen der,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,8,
soll der Termin,sollen der Termin,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,8,
der Termin heißen,der Termin heißen,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,8,
Lerngruppe mit Peter,Lerngruppe mit Peter,S,1,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,9,PER_FPP: Lerngruppe mit Peter
Alles klar dein,Alles klar der,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,10,
klar dein Termin,klar der Termin,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,10,
dein Termin am,der Termin an,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,10,
