,CURRENT,PREVIOUS,PREVIOUS_SPEAKER,PREVIOUS_DISTANCE,PREVIOUS_DISTANCE_LOG,PREVIOUS_BETA_MAN,PREVIOUS_BETA_WERDEN,QUASI_PERSISTENCE,HUMAN_ID,INTERACTION_ID,TURN_LENGTH,CONFEDERATE
9127,werden,werden,A,119,4.77912349311153,False,False,True,,86,9,False
9137,werden,werden,S,10,2.302585092994046,False,False,True,,86,10,False
33305,werden,werden,S,17,2.833213344056216,False,False,False,,369,6,False
33322,werden,werden,S,17,2.833213344056216,False,False,False,,369,6,False
33340,werden,werden,S,18,2.8903717578961645,False,False,False,,369,8,False
33359,werden,werden,S,19,2.9444389791664403,False,False,False,,369,8,False
33378,werden,werden,S,19,2.9444389791664403,False,False,False,,369,8,False
40175,werden,werden,S,19,2.9444389791664403,False,False,False,,443,8,False
40196,werden,werden,S,21,3.044522437723423,False,False,False,,443,8,False
40595,man,werden,A,81,4.394449154672439,False,False,True,,447,7,False
47834,werden,werden,A,167,5.117993812416755,False,False,False,,534,10,False
50234,man,werden,A,43,3.7612001156935624,False,False,False,,561,8,False
53900,werden,werden,A,5,1.6094379124341003,False,False,True,,597,7,False
55800,werden,werden,A,66,4.189654742026425,False,True,True,,607,8,False
55919,man,werden,A,67,4.204692619390966,False,True,False,,607,7,False
55937,man,man,S,18,2.8903717578961645,False,True,False,,607,7,False
55955,man,man,S,18,2.8903717578961645,False,False,False,,607,7,False
73386,man,man,S,35,3.5553480614894135,False,False,False,,763,6,False
73615,man,man,S,229,5.43372200355424,False,False,True,,763,6,False
73626,man,man,S,11,2.3978952727983707,False,False,True,,763,6,False
74833,werden,werden,A,53,3.970291913552122,False,False,False,,769,6,False
74844,werden,werden,S,11,2.3978952727983707,False,False,False,,769,8,False
82489,man,man,A,23,3.1354942159291497,False,False,True,,879,5,False
82499,man,man,S,10,2.302585092994046,False,False,True,,879,7,False
91818,werden,werden,A,136,4.912654885736052,False,True,True,,949,5,False
96297,werden,werden,S,100,4.605170185988092,False,False,True,,1007,5,False
96364,werden,werden,A,63,4.143134726391533,False,False,False,,1007,6,False
96378,werden,werden,S,14,2.6390573296152584,False,False,False,,1007,5,False
96485,werden,werden,S,107,4.672828834461906,False,False,True,,1007,10,False
96599,werden,werden,S,114,4.736198448394496,False,True,True,,1007,5,False
